sim_id,z,tier,payout_per_ha,total_claims_php,loss_ratio
2948,-0.8269872751629784,none,0,0,0
2949,-1.6145705435071163,moderate,36000,360000000,2.226345083487941
2950,-0.16643212008795555,none,0,0,0
2951,-1.7763919218929798,moderate,36000,360000000,2.226345083487941
2952,-0.666884015219462,none,0,0,0
2953,-0.30796506958600833,none,0,0,0
2954,1.222525415284671,none,0,0,0
2955,0.8958622626394882,none,0,0,0
2956,0.20390506303790193,none,0,0,0
2957,-0.21599841222960106,none,0,0,0
2958,-0.48800632193538745,none,0,0,0
2959,0.6020523137102023,none,0,0,0
2960,-1.394100213523595,mild,18000,180000000,1.1131725417439704
2961,-0.3541636711114469,none,0,0,0
2962,1.2310495779424715,none,0,0,0
2963,-0.8134058280150178,none,0,0,0
2964,-1.526672181654999,moderate,36000,360000000,2.226345083487941
2965,9.131540190566906e-4,none,0,0,0
2966,0.29515790450453,none,0,0,0
2967,1.7065375658712694,none,0,0,0
2968,-0.9074960401846931,none,0,0,0
2969,-0.5266138102981073,none,0,0,0
2970,1.240008555502309,none,0,0,0
2971,-0.2679018191887116,none,0,0,0
2972,0.30423634938697103,none,0,0,0
2973,0.4703034556809915,none,0,0,0
2974,1.2861921743484954,none,0,0,0
2975,0.9169772600299372,none,0,0,0
2976,-0.04097266462991084,none,0,0,0
2977,-1.2891628067152168,mild,18000,180000000,1.1131725417439704
2978,-0.07929736994611923,none,0,0,0
2979,0.7398948023191461,none,0,0,0
2980,1.27676023028368,none,0,0,0
2981,0.6651328171059514,none,0,0,0
2982,-1.5226903545949362,moderate,36000,360000000,2.226345083487941
2983,0.1262231116853654,none,0,0,0
2984,-1.1313821180008614,mild,18000,180000000,1.1131725417439704
2985,-0.47742523541626625,none,0,0,0
2986,-1.0984727944697836,mild,18000,180000000,1.1131725417439704
2987,1.707442366421631,none,0,0,0
2988,-0.1841029595999031,none,0,0,0
2989,1.8614262207001961,none,0,0,0
2990,-1.7420470662644358,moderate,36000,360000000,2.226345083487941
2991,-0.7834574212950617,none,0,0,0
2992,0.7952705423108344,none,0,0,0
2993,-0.5322700099910156,none,0,0,0
2994,1.9858043427388976,none,0,0,0
2995,-0.651800415504399,none,0,0,0
2996,-2.156962068471625,moderate,36000,360000000,2.226345083487941
2997,-0.09202749692473676,none,0,0,0
2998,-0.3974001169986583,none,0,0,0
2999,-0.13832730257086687,none,0,0,0
3000,-0.8257649992378525,none,0,0,0
3001,-0.6856616644968339,none,0,0,0
3002,-0.7927144685829102,none,0,0,0
3003,-0.4070041522618732,none,0,0,0
3004,-1.14867061145898,mild,18000,180000000,1.1131725417439704
3005,1.1157604655467204,none,0,0,0
3006,-0.8794567781700035,none,0,0,0
3007,1.2793229375316142,none,0,0,0
3008,-1.4542772548471603,mild,18000,180000000,1.1131725417439704
3009,0.8422287691935204,none,0,0,0
3010,-0.6032150078127323,none,0,0,0
3011,0.1315550273425387,none,0,0,0
3012,0.7644445566795859,none,0,0,0
3013,-0.9171351665919243,none,0,0,0
3014,0.23739451514297033,none,0,0,0
3015,-0.04468906661205926,none,0,0,0
3016,-1.1185503035624826,mild,18000,180000000,1.1131725417439704
3017,0.5767050228240064,none,0,0,0
3018,-2.301742210043845,moderate,36000,360000000,2.226345083487941
3019,1.544011384189486,none,0,0,0
3020,1.1963212389694569,none,0,0,0
3021,-0.2016768798645894,none,0,0,0
3022,-0.4322715798526309,none,0,0,0
3023,0.3469486438902994,none,0,0,0
3024,-0.4853779337792507,none,0,0,0
