"sim_id","n_events","loss"
535,2,1101.08024880127
536,7,67794.6475020878
537,5,18.0428459142826
538,0,0
539,9,339.814617610895
540,0,0
541,9,2230.21381281098
542,6,228.630890050337
543,0,0
544,2,237.800147512925
545,2,45029.9702751035
546,0,0
547,0,0
548,0,0
549,0,0
550,6,1442.91283249107
551,4,16533.5916079673
552,0,0
553,11,3295.94884719329
554,7,388.316528878382
555,0,0
556,5,106.024002072394
557,4,57.8755104643432
558,3,685.027810640089
559,6,79.4115094684267
560,8,25.6681508182557
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,2,23.9606470805602
567,10,5732.73314520437
568,0,0
569,7,2037.57494007883
570,0,0
571,10,455.235297077949
572,8,1107.1478650192
573,2,407.829801184653
574,12,579.837699525264
575,0,0
576,12,677.594040583272
577,8,24.238775168209
578,5,4.35764809756521
579,9,252.613722893718
580,10,29172.1024008702
581,0,0
582,0,0
583,14,3250.16894401697
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,5,27.1022592473301
591,0,0
592,0,0
593,4,126.917203108844
594,11,18933.3775953496
595,10,3899.42287462663
596,4,665.51523681047
597,10,884.065393539774
598,3,8.67490240880766
599,0,0
600,0,0
601,14,671.072744634638
602,14,1873.14788538876
603,7,147.371817873537
604,3,474.758274327583
605,0,0
606,0,0
607,0,0
608,2,1134.34762772106
609,11,182.946288411056
610,6,127.660300831783
611,4,989.631548521855
612,3,69.2488499761946
613,3,3.04335362060016
614,7,133.302535263955
615,14,8821.44619150921
616,0,0
617,0,0
618,11,2694.28848290237
619,4,4.42423769295643
620,0,0
621,0,0
622,0,0
623,7,261.391325519167
624,0,0
625,0,0
626,11,2315.19986248292
627,2,3750.88722221066
628,8,129.062461435774
629,3,11.8467412602137
630,0,0
631,0,0
632,6,21998.3092330032
633,4,2.53001429047523
634,0,0
635,0,0
636,6,16.7516801264386
637,2,7215.8409969214
638,1,25926.5957252698
639,3,5382.35008737855
640,1,1999.24170407561
641,10,1445.70873809106
642,0,0
643,6,2.24717609150165
644,0,0
645,0,0
646,7,1592.01197169392
647,23,640.93089715677
648,7,197.923522101432
649,13,913.336155809935
650,3,360.936824525966
651,0,0
652,0,0
653,0,0
654,4,1154.97986662283
655,0,0
656,1,0.107482064897516
657,9,121.79601585733
658,0,0
659,2,105.325551018695
660,6,572.0016027659
661,0,0
662,9,92.7164960841117
663,2,0.296858919952459
664,5,204.162262914473
665,2,285.031460435666
666,7,165.76621405842
667,6,30.1392407196543
668,9,782.207113404585
669,0,0
670,7,47.7572273211301
671,0,0
672,3,183.058683520678
673,0,0
674,0,0
675,0,0
676,8,176.310641078031
677,0,0
678,6,591.515275798703
679,7,4488.43979960383
680,0,0
681,12,1276.87191770816
682,3,9.98243995595845
683,9,2988.88893107183
684,0,0
685,8,1084.48215368966
686,0,0
687,0,0
688,0,0
689,0,0
690,2,5237.86831577522
691,4,2881.24505791408
692,8,4348.83914443057
693,0,0
694,0,0
695,0,0
696,0,0
697,9,1830.96750810661
698,13,1447.01009263216
699,9,139.23673370776
700,0,0
701,4,3.00745104418934
702,0,0
703,1,0.0818640107711299
704,0,0
705,0,0
706,4,9701.2334505448
707,0,0
708,0,0
709,13,1360.79560708977
710,4,250.401972156821
711,0,0
712,2,0.290097394928243
713,8,3101.77608857367
714,5,551.004100072123
715,6,147.416650260101
716,0,0
717,12,2020.36751025223
718,7,226.134025018052
719,0,0
720,0,0
721,10,212.316944078584
722,12,4352.29383355026
723,7,233.64280777196
724,0,0
725,0,0
726,0,0
727,7,530.53836252585
728,0,0
729,0,0
730,4,641.677654830889
731,0,0
